#  L TT            EE            BB            TE            PP            PT            PE           
 153 4.4724558e+03 1.0785813e+00 7.3318693e-03 -4.5864235e+01 7.3222738e-08 2.1585897e-04 -1.0762086e-06
 154 4.5044146e+03 1.0722815e+00 7.4370627e-03 -4.5812577e+01 7.2797899e-08 2.1397049e-04 -1.0613648e-06
 155 4.5361434e+03 1.0655840e+00 7.5432395e-03 -4.5735741e+01 7.2376530e-08 2.1210146e-04 -1.0463081e-06
 156 4.5676491e+03 1.0585117e+00 7.6504034e-03 -4.5633584e+01 7.1958594e-08 2.1025169e-04 -1.0310588e-06
 157 4.5989091e+03 1.0510650e+00 7.7585578e-03 -4.5505810e+01 7.1544068e-08 2.0842109e-04 -1.0156374e-06
 158 4.6299303e+03 1.0432742e+00 7.8677054e-03 -4.5352201e+01 7.1132912e-08 2.0660953e-04 -1.0000645e-06
 159 4.6606973e+03 1.0351399e+00 7.9778490e-03 -4.5172537e+01 7.0725148e-08 2.0481700e-04 -9.8436099e-07
 160 4.6912022e+03 1.0266847e+00 8.0889905e-03 -4.4966673e+01 7.0320703e-08 2.0304328e-04 -9.6854694e-07
 161 4.7214224e+03 1.0179241e+00 8.2011318e-03 -4.4734316e+01 6.9919573e-08 2.0128833e-04 -9.5264326e-07
 162 4.7513500e+03 1.0088734e+00 8.3142741e-03 -4.4475394e+01 6.9521751e-08 1.9955205e-04 -9.3667053e-07
 163 4.7809770e+03 9.9956279e-01 8.4284184e-03 -4.4189539e+01 6.9127183e-08 1.9783428e-04 -9.2064898e-07
 164 4.8102807e+03 9.8999284e-01 8.5435651e-03 -4.3876756e+01 6.8735864e-08 1.9613499e-04 -9.0459950e-07
 165 4.8392607e+03 9.8018631e-01 8.6597141e-03 -4.3536751e+01 6.8347773e-08 1.9445402e-04 -8.8854245e-07
 166 4.8679017e+03 9.7016595e-01 8.7768652e-03 -4.3169453e+01 6.7962888e-08 1.9279133e-04 -8.7249859e-07
 167 4.8961958e+03 9.5995453e-01 8.8950174e-03 -4.2774718e+01 6.7581178e-08 1.9114673e-04 -8.5648815e-07
 168 4.9241352e+03 9.4957482e-01 9.0141694e-03 -4.2352623e+01 6.7202624e-08 1.8952019e-04 -8.4053191e-07
 169 4.9517119e+03 9.3904957e-01 9.1343194e-03 -4.1903024e+01 6.6827219e-08 1.8791162e-04 -8.2465049e-07
 170 4.9789182e+03 9.2839412e-01 9.2554652e-03 -4.1425849e+01 6.6454909e-08 1.8632084e-04 -8.0886404e-07
 171 5.0057387e+03 9.1763863e-01 9.3776042e-03 -4.0921030e+01 6.6085691e-08 1.8474778e-04 -7.9319331e-07
 172 5.0321805e+03 9.0680584e-01 9.5007332e-03 -4.0388568e+01 6.5719549e-08 1.8319239e-04 -7.7765901e-07
 173 5.0582208e+03 8.9591850e-01 9.6248489e-03 -3.9828395e+01 6.5356439e-08 1.8165451e-04 -7.6228140e-07
 174 5.0838518e+03 8.8499933e-01 9.7499471e-03 -3.9240513e+01 6.4996357e-08 1.8013404e-04 -7.4708101e-07
 175 5.1090731e+03 8.7408592e-01 9.8760236e-03 -3.8625075e+01 6.4639287e-08 1.7863092e-04 -7.3207854e-07
 176 5.1338695e+03 8.6319359e-01 1.0003074e-02 -3.7982013e+01 6.4285192e-08 1.7714500e-04 -7.1728888e-07
 177 5.1582340e+03 8.5236013e-01 1.0131092e-02 -3.7311339e+01 6.3934031e-08 1.7567592e-04 -7.0270467e-07
 178 5.1821520e+03 8.4160850e-01 1.0260073e-02 -3.6613146e+01 6.3585806e-08 1.7422340e-04 -6.8831342e-07
 179 5.2056241e+03 8.3096164e-01 1.0390011e-02 -3.5887447e+01 6.3240475e-08 1.7278707e-04 -6.7410224e-07
 180 5.2286431e+03 8.2045736e-01 1.0520899e-02 -3.5134408e+01 6.2897995e-08 1.7136658e-04 -6.6005841e-07
 181 5.2511948e+03 8.1012602e-01 1.0652732e-02 -3.4354192e+01 6.2558368e-08 1.6996160e-04 -6.4616926e-07
 182 5.2732794e+03 7.9999799e-01 1.0785501e-02 -3.3546890e+01 6.2221537e-08 1.6857176e-04 -6.3242194e-07
 183 5.2948901e+03 7.9009617e-01 1.0919200e-02 -3.2712666e+01 6.1887489e-08 1.6719676e-04 -6.1880387e-07
 184 5.3160123e+03 7.8045836e-01 1.1053820e-02 -3.1851758e+01 6.1556205e-08 1.6583624e-04 -6.0530233e-07
 185 5.3366467e+03 7.7112230e-01 1.1189355e-02 -3.0964108e+01 6.1227642e-08 1.6448985e-04 -5.9190453e-07
 186 5.3567786e+03 7.6211090e-01 1.1325796e-02 -3.0050103e+01 6.0901765e-08 1.6315722e-04 -5.7859770e-07
 187 5.3764086e+03 7.5345521e-01 1.1463133e-02 -2.9109832e+01 6.0578569e-08 1.6183804e-04 -5.6536921e-07
 188 5.3955296e+03 7.4519594e-01 1.1601359e-02 -2.8143608e+01 6.0257998e-08 1.6053197e-04 -5.5220634e-07
 189 5.4141273e+03 7.3736488e-01 1.1740465e-02 -2.7151596e+01 5.9940052e-08 1.5923865e-04 -5.3909639e-07
 190 5.4322021e+03 7.2999678e-01 1.1880440e-02 -2.6134107e+01 5.9624692e-08 1.5795777e-04 -5.2602672e-07
 191 5.4497470e+03 7.2312415e-01 1.2021277e-02 -2.5091454e+01 5.9311874e-08 1.5668891e-04 -5.1298440e-07
 192 5.4667475e+03 7.1678245e-01 1.2162963e-02 -2.4023728e+01 5.9001607e-08 1.5543183e-04 -4.9995702e-07
 193 5.4831968e+03 7.1100568e-01 1.2305491e-02 -2.2931239e+01 5.8693814e-08 1.5418609e-04 -4.8693161e-07
 194 5.4991026e+03 7.0583001e-01 1.2448850e-02 -2.1814449e+01 5.8388512e-08 1.5295144e-04 -4.7389576e-07
 195 5.5144506e+03 7.0129165e-01 1.2593029e-02 -2.0673597e+01 5.8085664e-08 1.5172749e-04 -4.6083661e-07
 196 5.5292412e+03 6.9742676e-01 1.2738017e-02 -1.9509142e+01 5.7785209e-08 1.5051387e-04 -4.4774143e-07
 197 5.5434747e+03 6.9427300e-01 1.2883804e-02 -1.8321398e+01 5.7487162e-08 1.4931030e-04 -4.3459768e-07
 198 5.5571518e+03 6.9186653e-01 1.3030380e-02 -1.7110749e+01 5.7191475e-08 1.4811641e-04 -4.2139259e-07
 199 5.5702504e+03 6.9024350e-01 1.3177732e-02 -1.5877509e+01 5.6898121e-08 1.4693183e-04 -4.0811343e-07
 200 5.5827859e+03 6.8944004e-01 1.3325849e-02 -1.4622212e+01 5.6607072e-08 1.4575626e-04 -3.9474761e-07
 201 5.5947439e+03 6.8949440e-01 1.3474721e-02 -1.3345094e+01 5.6318304e-08 1.4458940e-04 -3.8128516e-07
 202 5.6061170e+03 6.9044218e-01 1.3624334e-02 -1.2046762e+01 5.6031809e-08 1.4343115e-04 -3.6772709e-07
 203 5.6168831e+03 6.9232034e-01 1.3774678e-02 -1.0727449e+01 5.5747542e-08 1.4228142e-04 -3.5407704e-07
 204 5.6270497e+03 6.9516509e-01 1.3925740e-02 -9.3876839e+00 5.5465512e-08 1.4114021e-04 -3.4033882e-07
